Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
17,0.22,-0.67,0.12,-0.618,0.6,-0.772,0.2,-0.751,0.209,-0.691,0.14,-0.662,0.15,-0.618,0.1844,-0.612
27,0.22,-0.696,0.12,-0.627,0.6,-0.756,0.2,-0.76,0.209,-0.676,0.14,-0.645,0.15,-0.623,0.1844,-0.606
29,0.22,-0.695,0.12,-0.496,0.6,-0.76,0.2,-0.744,0.209,-0.684,0.14,-0.625,0.15,-0.625,0.1844,-0.6
5,0.22,-0.645,0.12,-0.663,0.6,-0.782,0.2,-0.774,0.209,-0.705,0.14,-0.665,0.15,-0.588,0.1844,-0.629
9,0.22,-0.657,0.12,-0.624,0.6,-0.779,0.2,-0.763,0.209,-0.718,0.14,-0.686,0.15,-0.615,0.1844,-0.623
12,0.22,-0.66,0.12,-0.646,0.6,-0.77,0.2,-0.753,0.209,-0.725,0.14,-0.674,0.15,-0.601,0.1844,-0.619
14,0.22,-0.674,0.12,-0.633,0.6,-0.762,0.2,-0.761,0.209,-0.709,0.14,-0.663,0.15,-0.6,0.1844,-0.614
2,0.22,-0.666,0.12,-0.641,0.6,-0.777,0.2,-0.784,0.209,-0.682,0.14,-0.692,0.15,-0.59,0.1844,-0.63
29,0.22,-0.697,0.12,-0.488,0.6,-0.759,0.2,-0.743,0.209,-0.682,0.14,-0.627,0.15,-0.625,0.1844,-0.603
18,0.22,-0.673,0.12,-0.632,0.6,-0.765,0.2,-0.755,0.209,-0.698,0.14,-0.65,0.15,-0.616,0.1844,-0.604
22,0.22,-0.686,0.12,-0.664,0.6,-0.767,0.2,-0.757,0.209,-0.679,0.14,-0.648,0.15,-0.628,0.1844,-0.614
21,0.22,-0.682,0.12,-0.657,0.6,-0.784,0.2,-0.751,0.209,-0.678,0.14,-0.657,0.15,-0.64,0.1844,-0.6
32,0.22,-0.698,0.12,-0.56,0.6,-0.765,0.2,-0.718,0.209,-0.682,0.14,-0.636,0.15,-0.64,0.1844,-0.574
8,0.22,-0.667,0.12,-0.643,0.6,-0.785,0.2,-0.76,0.209,-0.711,0.14,-0.681,0.15,-0.603,0.1844,-0.627
4,0.22,-0.646,0.12,-0.658,0.6,-0.782,0.2,-0.776,0.209,-0.703,0.14,-0.672,0.15,-0.584,0.1844,-0.63
36,0.22,-0.699,0.12,-0.592,0.6,-0.75,0.2,-0.728,0.209,-0.663,0.14,-0.633,0.15,-0.646,0.1844,-0.555
30,0.22,-0.696,0.12,-0.511,0.6,-0.761,0.2,-0.745,0.209,-0.687,0.14,-0.619,0.15,-0.634,0.1844,-0.583
39,0.22,-0.708,0.12,-0.608,0.6,-0.759,0.2,-0.716,0.209,-0.663,0.14,-0.63,0.15,-0.653,0.1844,-0.574
27,0.22,-0.695,0.12,-0.625,0.6,-0.756,0.2,-0.759,0.209,-0.676,0.14,-0.645,0.15,-0.623,0.1844,-0.606
3,0.22,-0.658,0.12,-0.648,0.6,-0.783,0.2,-0.776,0.209,-0.691,0.14,-0.691,0.15,-0.587,0.1844,-0.626
35,0.22,-0.693,0.12,-0.592,0.6,-0.748,0.2,-0.728,0.209,-0.669,0.14,-0.631,0.15,-0.641,0.1844,-0.56
6,0.22,-0.65,0.12,-0.655,0.6,-0.788,0.2,-0.768,0.209,-0.701,0.14,-0.666,0.15,-0.587,0.1844,-0.621
